age,job,marital,education,housing,loan,contact,poutcome,termdeposit
49,admin.,married,high.school,no,no,cellular,nonexistent,no
48,technician,single,high.school,yes,yes,telephone,nonexistent,no
25,admin.,single,high.school,no,no,telephone,nonexistent,no
49,blue-collar,divorced,unknown,yes,no,cellular,nonexistent,no
33,blue-collar,single,basic.9y,no,no,cellular,nonexistent,no
35,services,single,basic.9y,no,no,cellular,nonexistent,no
33,entrepreneur,married,university.degree,no,no,cellular,nonexistent,no
36,housemaid,married,basic.4y,no,no,telephone,nonexistent,no
49,admin.,single,high.school,no,no,telephone,nonexistent,no
30,management,married,university.degree,no,no,cellular,failure,no
77,retired,married,basic.4y,unknown,unknown,cellular,success,yes
34,management,married,university.degree,yes,no,telephone,nonexistent,no
48,management,divorced,university.degree,no,no,cellular,nonexistent,no
44,management,married,high.school,no,yes,telephone,nonexistent,no
50,unemployed,married,professional.course,no,no,telephone,nonexistent,no
49,blue-collar,married,basic.9y,no,no,cellular,nonexistent,no
28,admin.,single,university.degree,no,no,cellular,nonexistent,yes
50,blue-collar,divorced,basic.9y,no,no,telephone,nonexistent,no
40,admin.,single,high.school,yes,no,cellular,failure,no
48,services,married,basic.9y,no,no,cellular,nonexistent,no
32,technician,married,university.degree,yes,yes,telephone,nonexistent,no
29,admin.,married,high.school,no,no,telephone,nonexistent,no
29,admin.,single,high.school,yes,no,telephone,nonexistent,no
55,entrepreneur,divorced,university.degree,no,no,cellular,nonexistent,no
45,unknown,married,unknown,yes,no,telephone,nonexistent,no
52,technician,divorced,professional.course,yes,no,telephone,nonexistent,no
32,technician,single,university.degree,yes,no,cellular,nonexistent,no
38,technician,married,professional.course,yes,no,telephone,nonexistent,no
33,admin.,single,university.degree,yes,no,cellular,nonexistent,yes
29,technician,single,professional.course,yes,no,cellular,nonexistent,no
37,admin.,married,university.degree,yes,no,cellular,nonexistent,no
80,retired,married,basic.4y,yes,no,cellular,nonexistent,yes
57,management,married,university.degree,yes,no,telephone,nonexistent,no
37,blue-collar,divorced,basic.9y,yes,no,telephone,nonexistent,yes
40,admin.,married,high.school,no,yes,telephone,nonexistent,no
43,services,divorced,unknown,yes,yes,cellular,nonexistent,no
22,blue-collar,single,basic.4y,yes,no,telephone,nonexistent,no
41,self-employed,married,professional.course,yes,no,cellular,nonexistent,no
35,blue-collar,single,basic.6y,yes,no,cellular,nonexistent,no
37,blue-collar,married,basic.9y,no,no,telephone,nonexistent,no
44,technician,divorced,professional.course,yes,no,cellular,nonexistent,no
32,blue-collar,single,high.school,no,no,telephone,nonexistent,no
60,retired,married,basic.4y,no,no,cellular,nonexistent,no
36,blue-collar,married,unknown,yes,no,cellular,nonexistent,no
51,admin.,divorced,university.degree,unknown,unknown,telephone,nonexistent,no
36,entrepreneur,married,university.degree,no,no,telephone,nonexistent,no
46,services,married,high.school,yes,no,cellular,nonexistent,no
30,management,single,university.degree,no,no,cellular,nonexistent,no
33,admin.,married,university.degree,no,no,cellular,nonexistent,yes
36,admin.,married,high.school,yes,yes,cellular,success,no
27,unemployed,single,basic.9y,no,no,cellular,failure,no
37,services,married,high.school,yes,yes,telephone,nonexistent,no
50,entrepreneur,married,high.school,yes,yes,cellular,failure,no
37,services,married,high.school,yes,no,cellular,nonexistent,no
24,technician,single,university.degree,yes,no,cellular,nonexistent,no
31,housemaid,married,basic.4y,no,no,telephone,nonexistent,no
30,admin.,single,high.school,yes,no,cellular,failure,no
33,admin.,married,high.school,no,no,telephone,nonexistent,no
49,admin.,married,university.degree,yes,no,cellular,nonexistent,no
49,blue-collar,married,basic.9y,yes,no,telephone,nonexistent,no
31,technician,single,high.school,no,no,cellular,nonexistent,no
30,unemployed,married,basic.9y,no,no,cellular,nonexistent,no
29,technician,married,unknown,yes,no,cellular,nonexistent,no
41,technician,married,professional.course,yes,yes,cellular,nonexistent,no
40,admin.,married,university.degree,no,no,cellular,nonexistent,no
41,blue-collar,divorced,basic.4y,yes,no,telephone,nonexistent,no
42,blue-collar,married,basic.9y,no,no,telephone,nonexistent,no
37,services,married,high.school,no,no,telephone,nonexistent,no
34,admin.,married,university.degree,yes,no,cellular,failure,yes
51,services,single,basic.6y,yes,no,cellular,nonexistent,no
39,housemaid,married,high.school,yes,no,telephone,nonexistent,no
33,technician,divorced,high.school,no,no,telephone,nonexistent,no
39,blue-collar,divorced,high.school,no,no,telephone,nonexistent,no
27,self-employed,single,university.degree,yes,no,telephone,nonexistent,no
36,management,single,university.degree,no,no,cellular,nonexistent,no
43,self-employed,married,university.degree,yes,yes,telephone,nonexistent,no
42,self-employed,married,university.degree,no,yes,cellular,nonexistent,no
35,management,married,university.degree,no,no,cellular,nonexistent,yes
28,admin.,single,high.school,yes,no,cellular,nonexistent,yes
47,blue-collar,divorced,basic.9y,no,yes,telephone,nonexistent,no
55,admin.,single,university.degree,no,no,cellular,nonexistent,no
34,services,married,high.school,no,no,cellular,nonexistent,no
34,blue-collar,married,basic.4y,yes,no,cellular,nonexistent,no
44,self-employed,married,basic.9y,no,no,cellular,nonexistent,no
39,blue-collar,married,unknown,no,no,telephone,nonexistent,no
49,services,married,high.school,no,no,telephone,nonexistent,no
36,blue-collar,single,high.school,no,no,telephone,nonexistent,no
37,management,married,university.degree,no,yes,telephone,nonexistent,no
37,admin.,married,university.degree,yes,no,cellular,nonexistent,no
40,admin.,single,high.school,yes,no,cellular,nonexistent,no
59,technician,married,university.degree,no,no,cellular,failure,no
49,blue-collar,married,basic.4y,yes,no,cellular,nonexistent,no
53,admin.,single,university.degree,yes,no,cellular,success,yes
57,blue-collar,married,high.school,no,no,telephone,nonexistent,no
43,technician,married,basic.6y,yes,no,telephone,nonexistent,no
54,entrepreneur,married,professional.course,no,no,cellular,nonexistent,yes
51,admin.,divorced,high.school,yes,yes,cellular,failure,yes
35,blue-collar,divorced,basic.4y,yes,no,cellular,nonexistent,no
53,admin.,married,university.degree,no,no,telephone,nonexistent,no
53,entrepreneur,divorced,university.degree,yes,no,cellular,nonexistent,no
34,admin.,divorced,university.degree,yes,no,telephone,failure,yes
50,housemaid,divorced,high.school,yes,no,telephone,nonexistent,no
39,admin.,married,university.degree,no,no,cellular,nonexistent,no
27,student,single,high.school,yes,no,cellular,nonexistent,no
27,management,single,university.degree,yes,no,cellular,success,no
44,blue-collar,single,basic.4y,yes,no,telephone,nonexistent,no
29,self-employed,married,university.degree,no,no,cellular,nonexistent,no
42,blue-collar,married,basic.4y,yes,no,telephone,nonexistent,no
31,technician,single,high.school,yes,no,cellular,failure,no
29,technician,married,professional.course,no,no,cellular,nonexistent,no
60,retired,married,university.degree,yes,no,telephone,nonexistent,no
28,self-employed,single,university.degree,no,yes,cellular,nonexistent,yes
28,blue-collar,married,basic.9y,yes,no,cellular,nonexistent,yes
40,services,married,high.school,no,no,cellular,failure,no
35,admin.,married,high.school,no,no,telephone,nonexistent,no
36,services,single,high.school,no,no,cellular,nonexistent,no
36,blue-collar,married,basic.6y,unknown,unknown,telephone,nonexistent,no
49,admin.,married,high.school,yes,yes,cellular,nonexistent,no
47,admin.,married,university.degree,no,yes,telephone,nonexistent,no
29,admin.,married,university.degree,no,yes,cellular,nonexistent,no
35,blue-collar,divorced,basic.9y,no,yes,telephone,nonexistent,no
33,admin.,married,professional.course,no,no,telephone,nonexistent,no
28,services,single,high.school,yes,no,telephone,nonexistent,no
44,technician,married,professional.course,no,no,telephone,nonexistent,no
34,management,single,university.degree,no,no,cellular,nonexistent,no
48,admin.,divorced,high.school,no,no,telephone,nonexistent,no
38,technician,married,professional.course,no,no,telephone,nonexistent,no
39,services,married,high.school,no,no,cellular,nonexistent,no
35,blue-collar,single,basic.4y,no,no,cellular,nonexistent,no
26,admin.,single,university.degree,yes,no,cellular,nonexistent,no
48,admin.,married,high.school,yes,yes,cellular,nonexistent,no
41,blue-collar,married,basic.9y,yes,yes,cellular,nonexistent,no
37,blue-collar,married,basic.6y,no,no,cellular,nonexistent,no
38,technician,single,university.degree,yes,no,telephone,nonexistent,no
45,blue-collar,married,basic.4y,no,yes,cellular,nonexistent,no
45,blue-collar,married,basic.6y,yes,no,cellular,nonexistent,yes
36,student,single,basic.9y,yes,no,telephone,nonexistent,no
45,blue-collar,married,basic.4y,yes,yes,telephone,nonexistent,no
45,admin.,divorced,university.degree,yes,yes,cellular,nonexistent,no
35,admin.,divorced,high.school,yes,no,cellular,failure,no
40,blue-collar,married,basic.4y,no,no,telephone,nonexistent,no
38,unemployed,married,basic.4y,no,no,cellular,nonexistent,no
39,admin.,married,high.school,yes,no,telephone,nonexistent,no
52,housemaid,married,basic.6y,yes,no,cellular,nonexistent,no
37,entrepreneur,married,basic.9y,no,no,cellular,success,no
33,admin.,single,high.school,yes,no,cellular,failure,no
33,admin.,single,university.degree,yes,no,cellular,nonexistent,no
49,blue-collar,married,basic.4y,yes,no,telephone,nonexistent,no
38,admin.,married,high.school,yes,no,cellular,failure,no
34,technician,married,professional.course,yes,no,cellular,nonexistent,no
38,blue-collar,married,basic.9y,yes,no,cellular,failure,no
56,self-employed,married,basic.9y,unknown,unknown,cellular,nonexistent,no
30,unemployed,married,high.school,no,no,cellular,success,yes
24,student,single,professional.course,yes,no,cellular,nonexistent,yes
36,technician,married,unknown,yes,no,telephone,nonexistent,no
40,technician,married,basic.9y,no,no,cellular,nonexistent,no
29,services,married,university.degree,no,yes,cellular,nonexistent,no
29,blue-collar,married,basic.9y,yes,no,cellular,nonexistent,no
46,admin.,married,high.school,yes,no,cellular,nonexistent,no
51,admin.,married,high.school,no,yes,telephone,nonexistent,no
27,services,single,high.school,yes,no,cellular,nonexistent,no
58,management,married,university.degree,yes,no,cellular,nonexistent,no
29,technician,single,university.degree,yes,no,cellular,nonexistent,no
43,blue-collar,divorced,basic.4y,no,no,telephone,nonexistent,no
34,technician,divorced,professional.course,yes,no,cellular,nonexistent,no
27,technician,single,basic.9y,no,no,cellular,nonexistent,no
53,management,married,university.degree,yes,no,cellular,nonexistent,no
44,admin.,single,professional.course,yes,no,telephone,nonexistent,no
30,blue-collar,married,basic.6y,yes,yes,cellular,nonexistent,no
32,admin.,single,university.degree,yes,no,cellular,nonexistent,no
30,technician,single,high.school,no,no,cellular,nonexistent,yes
46,admin.,divorced,university.degree,yes,no,cellular,nonexistent,no
39,services,divorced,high.school,no,no,cellular,nonexistent,no
28,technician,divorced,professional.course,yes,no,telephone,nonexistent,no
34,admin.,unknown,university.degree,yes,no,cellular,nonexistent,no
50,blue-collar,married,basic.4y,no,no,cellular,nonexistent,yes
59,technician,married,unknown,yes,no,telephone,nonexistent,no
27,services,single,high.school,yes,no,cellular,nonexistent,no
32,technician,single,professional.course,no,no,cellular,nonexistent,no
29,admin.,single,university.degree,no,no,telephone,nonexistent,no
42,services,single,high.school,yes,no,cellular,failure,no
25,blue-collar,single,high.school,yes,no,telephone,failure,no
52,housemaid,married,basic.4y,yes,yes,cellular,nonexistent,no
47,technician,divorced,high.school,yes,no,cellular,failure,yes
43,blue-collar,married,basic.9y,yes,yes,cellular,nonexistent,no
36,technician,married,professional.course,yes,no,telephone,nonexistent,no
35,technician,single,high.school,yes,no,telephone,nonexistent,no
56,management,married,university.degree,no,yes,telephone,nonexistent,no
55,unemployed,married,university.degree,yes,no,cellular,nonexistent,no
55,services,single,high.school,no,yes,cellular,nonexistent,no
45,admin.,married,university.degree,yes,no,cellular,nonexistent,no
30,technician,married,university.degree,no,no,telephone,nonexistent,no
30,blue-collar,divorced,basic.9y,yes,no,cellular,nonexistent,no
58,admin.,married,high.school,yes,no,cellular,nonexistent,no
50,entrepreneur,married,basic.4y,yes,no,cellular,nonexistent,no
26,blue-collar,single,basic.9y,yes,no,cellular,nonexistent,no
33,admin.,single,university.degree,no,no,cellular,nonexistent,no
34,blue-collar,married,basic.6y,no,no,telephone,nonexistent,no
34,admin.,married,high.school,yes,no,telephone,failure,no
29,technician,single,university.degree,no,no,cellular,nonexistent,no
37,housemaid,single,university.degree,no,no,cellular,nonexistent,yes
24,services,single,professional.course,yes,no,cellular,nonexistent,no
81,retired,married,basic.6y,no,no,cellular,success,no
35,blue-collar,married,basic.9y,no,no,telephone,nonexistent,no
24,blue-collar,single,basic.9y,no,no,cellular,nonexistent,no
33,blue-collar,married,basic.6y,yes,no,cellular,nonexistent,no
32,services,married,high.school,yes,yes,cellular,failure,no
41,self-employed,married,basic.4y,no,no,telephone,nonexistent,no
37,technician,divorced,professional.course,no,no,cellular,nonexistent,no
44,blue-collar,married,professional.course,no,no,cellular,nonexistent,no
57,retired,married,high.school,no,no,cellular,nonexistent,no
31,entrepreneur,unknown,university.degree,no,no,cellular,nonexistent,yes
56,retired,married,basic.4y,no,no,cellular,nonexistent,no
31,admin.,single,university.degree,yes,yes,cellular,nonexistent,no
43,unemployed,married,basic.9y,no,no,cellular,success,yes
55,retired,married,university.degree,no,no,telephone,nonexistent,no
34,technician,married,university.degree,yes,no,cellular,nonexistent,no
33,blue-collar,single,high.school,yes,no,telephone,nonexistent,no
41,management,married,unknown,no,no,telephone,nonexistent,no
50,management,married,university.degree,no,no,cellular,failure,no
31,blue-collar,married,basic.6y,no,no,telephone,nonexistent,no
47,management,married,basic.4y,no,no,telephone,nonexistent,no
49,entrepreneur,married,high.school,no,no,cellular,nonexistent,no
59,self-employed,married,professional.course,yes,no,cellular,nonexistent,no
47,admin.,married,university.degree,no,no,telephone,nonexistent,no
46,admin.,married,university.degree,yes,no,telephone,nonexistent,no
26,management,single,university.degree,no,no,cellular,nonexistent,yes
41,self-employed,married,university.degree,no,no,telephone,nonexistent,no
40,technician,married,professional.course,yes,no,cellular,nonexistent,no
47,services,married,high.school,no,no,cellular,nonexistent,no
27,admin.,single,university.degree,no,no,cellular,nonexistent,no
30,technician,married,professional.course,no,no,cellular,nonexistent,no
42,admin.,married,university.degree,yes,yes,cellular,nonexistent,no
39,technician,single,professional.course,yes,no,cellular,nonexistent,no
29,admin.,single,high.school,no,no,cellular,nonexistent,no
46,blue-collar,married,basic.4y,unknown,unknown,telephone,nonexistent,no
41,admin.,married,university.degree,yes,no,telephone,nonexistent,no
36,housemaid,married,basic.4y,no,no,telephone,nonexistent,no
52,admin.,married,high.school,no,no,cellular,nonexistent,no
32,admin.,married,high.school,yes,no,cellular,nonexistent,no
31,services,single,high.school,yes,no,telephone,nonexistent,no
45,blue-collar,married,basic.6y,yes,no,cellular,nonexistent,no
48,housemaid,married,basic.4y,yes,no,cellular,nonexistent,no
32,admin.,single,high.school,no,no,telephone,nonexistent,no
33,admin.,married,high.school,no,no,cellular,nonexistent,no
41,entrepreneur,single,high.school,yes,no,telephone,nonexistent,no
53,technician,married,high.school,yes,no,telephone,nonexistent,no
51,services,married,unknown,no,no,cellular,nonexistent,no
26,admin.,single,university.degree,no,no,cellular,nonexistent,yes
27,blue-collar,single,basic.6y,no,no,telephone,nonexistent,no
31,technician,married,professional.course,yes,no,cellular,nonexistent,no
44,blue-collar,married,basic.4y,no,no,cellular,nonexistent,no
35,blue-collar,married,basic.9y,unknown,unknown,telephone,nonexistent,no
44,blue-collar,married,basic.4y,no,no,telephone,nonexistent,no
41,blue-collar,married,professional.course,no,no,cellular,nonexistent,no
34,technician,married,professional.course,yes,yes,cellular,nonexistent,no
34,blue-collar,married,basic.9y,yes,no,cellular,nonexistent,no
43,management,married,university.degree,yes,no,cellular,nonexistent,yes
39,blue-collar,divorced,basic.9y,no,no,telephone,nonexistent,no
46,technician,divorced,university.degree,no,no,telephone,nonexistent,no
35,technician,divorced,professional.course,no,no,cellular,nonexistent,yes
47,services,married,high.school,yes,yes,telephone,nonexistent,no
27,management,single,university.degree,no,no,cellular,nonexistent,no
37,admin.,married,high.school,no,no,cellular,nonexistent,no
52,blue-collar,married,basic.9y,yes,no,telephone,nonexistent,no
43,blue-collar,married,basic.9y,yes,no,telephone,nonexistent,no
31,admin.,single,university.degree,yes,no,cellular,nonexistent,no
29,admin.,single,university.degree,yes,no,cellular,nonexistent,no
43,admin.,married,high.school,yes,no,cellular,failure,no
47,entrepreneur,single,university.degree,yes,no,telephone,nonexistent,no
45,unemployed,divorced,basic.4y,yes,no,cellular,nonexistent,no
39,blue-collar,married,basic.4y,no,no,cellular,nonexistent,no
36,admin.,married,high.school,yes,no,cellular,nonexistent,no
21,services,single,basic.9y,no,no,cellular,nonexistent,no
28,admin.,married,high.school,no,no,cellular,nonexistent,no
48,services,divorced,high.school,yes,no,cellular,nonexistent,no
43,management,married,university.degree,no,no,cellular,nonexistent,no
37,admin.,single,university.degree,no,yes,cellular,nonexistent,no
59,retired,divorced,professional.course,yes,no,cellular,nonexistent,no
31,entrepreneur,married,basic.6y,yes,no,telephone,nonexistent,no
57,technician,single,university.degree,yes,no,cellular,nonexistent,no
44,services,married,high.school,no,no,cellular,nonexistent,no
57,management,divorced,university.degree,yes,yes,telephone,nonexistent,no
26,unknown,single,high.school,no,no,telephone,nonexistent,no
43,retired,married,high.school,yes,no,cellular,nonexistent,no
34,blue-collar,married,basic.9y,yes,no,telephone,nonexistent,no
48,admin.,married,high.school,no,no,cellular,nonexistent,yes
32,admin.,divorced,high.school,yes,no,telephone,nonexistent,no
38,technician,single,professional.course,yes,no,cellular,failure,no
37,admin.,single,university.degree,no,yes,cellular,nonexistent,no
29,admin.,single,university.degree,yes,no,cellular,nonexistent,no
42,admin.,married,university.degree,no,no,cellular,nonexistent,no
52,management,divorced,university.degree,no,no,telephone,nonexistent,no
48,unemployed,divorced,basic.4y,no,yes,telephone,nonexistent,no
30,services,single,unknown,yes,no,telephone,nonexistent,no
41,technician,married,professional.course,no,no,cellular,nonexistent,no
24,admin.,single,university.degree,yes,no,cellular,nonexistent,no
57,management,divorced,university.degree,yes,no,cellular,nonexistent,no
28,student,single,university.degree,yes,no,cellular,failure,no
51,blue-collar,divorced,basic.9y,no,no,cellular,nonexistent,no
41,technician,married,university.degree,no,yes,cellular,failure,no
25,management,single,university.degree,yes,no,cellular,nonexistent,no
47,admin.,single,university.degree,no,no,cellular,nonexistent,no
34,admin.,single,high.school,yes,no,cellular,nonexistent,no
40,admin.,married,basic.9y,yes,yes,telephone,nonexistent,no
29,blue-collar,single,unknown,no,no,telephone,nonexistent,no
33,unemployed,married,basic.9y,yes,no,telephone,nonexistent,no
47,admin.,married,university.degree,yes,no,telephone,nonexistent,no
42,admin.,married,university.degree,yes,no,cellular,nonexistent,no
55,admin.,married,university.degree,yes,yes,cellular,nonexistent,no
40,blue-collar,married,basic.9y,yes,no,telephone,nonexistent,no
34,blue-collar,single,basic.9y,yes,no,telephone,nonexistent,no
54,blue-collar,married,basic.9y,yes,no,telephone,nonexistent,no
47,admin.,single,university.degree,no,no,cellular,nonexistent,no
39,services,married,high.school,yes,no,cellular,nonexistent,no
35,blue-collar,married,basic.9y,no,no,telephone,nonexistent,no
34,management,married,high.school,no,no,cellular,nonexistent,no
31,technician,single,university.degree,yes,yes,cellular,nonexistent,no
29,blue-collar,single,basic.9y,unknown,unknown,telephone,nonexistent,no
43,services,married,high.school,yes,no,telephone,nonexistent,no
33,blue-collar,married,basic.9y,yes,no,cellular,nonexistent,no
44,admin.,single,university.degree,yes,no,telephone,nonexistent,no
32,management,single,university.degree,no,no,cellular,failure,no
37,blue-collar,married,basic.9y,unknown,unknown,telephone,nonexistent,no
28,unemployed,single,basic.9y,no,yes,cellular,failure,yes
31,technician,divorced,university.degree,yes,no,cellular,nonexistent,no
33,blue-collar,single,basic.9y,yes,no,cellular,failure,no
29,technician,single,university.degree,yes,no,telephone,nonexistent,no
34,technician,divorced,professional.course,no,no,cellular,nonexistent,no
34,technician,divorced,unknown,yes,no,telephone,nonexistent,no
34,blue-collar,divorced,basic.4y,no,no,telephone,nonexistent,no
34,technician,single,professional.course,yes,no,cellular,nonexistent,no
36,admin.,married,university.degree,yes,no,cellular,nonexistent,no
28,admin.,married,university.degree,no,no,cellular,nonexistent,no
38,admin.,married,university.degree,no,no,cellular,failure,yes
34,admin.,married,university.degree,yes,no,telephone,nonexistent,no
53,management,married,university.degree,yes,yes,cellular,nonexistent,no
36,entrepreneur,single,university.degree,yes,no,cellular,nonexistent,no
24,student,single,high.school,no,no,cellular,failure,no
29,blue-collar,single,high.school,no,no,telephone,nonexistent,no
47,entrepreneur,married,university.degree,yes,no,telephone,nonexistent,no
33,unemployed,single,university.degree,yes,no,cellular,nonexistent,no
56,services,divorced,high.school,yes,no,cellular,failure,no
38,technician,married,professional.course,no,no,cellular,nonexistent,no
30,technician,single,professional.course,yes,yes,cellular,nonexistent,no
38,admin.,married,university.degree,no,no,cellular,nonexistent,no
37,services,married,high.school,no,no,telephone,nonexistent,no
30,technician,single,professional.course,unknown,unknown,telephone,failure,yes
38,unemployed,married,high.school,no,no,cellular,nonexistent,no
40,admin.,single,unknown,no,yes,telephone,nonexistent,no
26,technician,single,professional.course,no,no,telephone,nonexistent,no
45,blue-collar,divorced,professional.course,yes,no,cellular,nonexistent,no
27,unemployed,married,high.school,yes,yes,telephone,nonexistent,no
59,retired,single,high.school,no,no,telephone,nonexistent,no
49,unemployed,married,high.school,yes,no,cellular,nonexistent,no
29,services,divorced,high.school,no,no,telephone,nonexistent,no
47,admin.,married,university.degree,yes,no,cellular,failure,no
43,housemaid,married,basic.4y,no,no,telephone,nonexistent,no
28,services,married,high.school,no,no,cellular,nonexistent,no
35,admin.,single,university.degree,no,yes,cellular,nonexistent,no
47,blue-collar,single,basic.9y,yes,no,cellular,nonexistent,no
58,management,single,professional.course,no,no,telephone,nonexistent,no
36,blue-collar,single,basic.9y,yes,no,telephone,nonexistent,no
26,admin.,married,basic.9y,no,no,cellular,nonexistent,yes
50,admin.,divorced,basic.9y,yes,yes,cellular,nonexistent,no
27,admin.,single,university.degree,no,no,cellular,nonexistent,no
34,services,divorced,high.school,yes,no,telephone,failure,no
55,self-employed,married,unknown,no,no,cellular,nonexistent,no
36,management,single,high.school,yes,no,cellular,nonexistent,no
33,technician,married,professional.course,yes,no,telephone,nonexistent,no
44,blue-collar,married,basic.9y,yes,no,telephone,nonexistent,no
28,services,single,high.school,unknown,unknown,cellular,failure,no
30,blue-collar,married,unknown,no,no,telephone,nonexistent,no
58,unknown,married,basic.4y,yes,no,cellular,nonexistent,yes
52,retired,divorced,professional.course,no,no,cellular,nonexistent,no
30,services,divorced,high.school,yes,no,telephone,nonexistent,no
54,blue-collar,married,basic.4y,unknown,unknown,cellular,failure,yes
36,self-employed,married,basic.4y,yes,no,cellular,nonexistent,no
54,management,divorced,university.degree,yes,no,telephone,nonexistent,no
29,technician,single,university.degree,no,no,telephone,nonexistent,no
45,services,married,high.school,yes,no,cellular,failure,no
30,admin.,married,university.degree,no,no,cellular,nonexistent,yes
36,admin.,single,high.school,unknown,unknown,cellular,failure,yes
30,technician,single,university.degree,yes,no,cellular,nonexistent,no
30,management,married,university.degree,yes,no,telephone,nonexistent,no
31,blue-collar,single,basic.4y,yes,no,cellular,nonexistent,no
44,blue-collar,married,basic.4y,unknown,unknown,telephone,nonexistent,no
58,services,married,high.school,no,no,cellular,failure,no
44,admin.,single,university.degree,no,no,cellular,nonexistent,no
